           날짜,          리뷰 내용,   평점(5개 만점)
2021년 9월,"오랜만에 야간개장갔는데 넘 재밌었어요
포토존도 많구 가족 연인간에 가기 좋아여",4
2021년 10월,추억의 러울랜드...그거슨 추억 보정이었구요...지금 보니 꽤나 허접하면서 아직도 돌아가는게 신기할 정도...그리고 이상하게 여기 놀이기구들은 타고나면 멀미가 남...그래도 추억이 있어 다녀오긴 했음...나름 발전이 이루어 졌으면 하는 바람…,4
2021년 9월,말해모해? 👍,5
2021년 9월,"오랜만에 손주덕에 다녀 왔어요
우리 애들 어릴때보다 놀이 시설이 많이 늘어 있고 다양해서 좋네요",5
2021년 9월,10세 이하의 아이들을 가진 가족들에게는 최고. 단 입장료 외의 부수비용은 꽤나 많이 들 수 있음.,5
2021년 9월,너무너무넘~~~~~  재미있어요!!!!!!!!!!!!♡0♡,5
2021년 9월,"놀이 기구 하나 타려면
오래 기다린다는거 빼고는
어린이들 촤고의 놀이 공원 입니다",5
2021년 9월,"넓고 공기좋고 아이들이 타고 놀 기구도 다양하고
무엇보다 놀이터가 명품이라 사람많아 기다리기 힘든 날 5시간을 내리 놀았습니다",5
2021년 9월,일명 청룡열차류는 전부 안전벨트 싸이즈가 성인들한테는 다소 작아서 어깨가 너무아프고 불편해 타면서 더 꽉 조일때는 허리가 굽어저 무리가 가고 답답해서 혼났다 분명히 안전벨트 개선의 필요성이 있다,4
2021년 9월,"명절 전날 이곳에 가끔들렀는데
오늘 만큼 사람 많았던적은 드물었는데
하루빨리  코로나 벗어나길",4
2021년 9월,"5세이상~초등저학년까지에겐 에버랜드 보다 낫다고 봄.
알찬 놀이기구 넓고 완만한 부지.
먹거리도 쏘쏘. 특별히 싸들고 다니지 않아도 한 끼 대충 떼우며 종일 놀 수 있어요",5
2021년 9월,온몸에 타박상을 입은 느낌이에요. 블랙홀 2000은 꼭 타세요. 2000대 맞고 나온 기분을 느끼실 거에요. 한번도 구타를 당해보지 않으신 분들은 이거 타고나서 구타 느낌이 어떤지 조금은 아실거에요. 타는 내내 너무너무너무너무 아파요.,5
2021년 9월,좋아요. 특히 어린 아이들이 놀기 좋아요.,5
2021년 9월,(Google 번역 제공) 좋은,4
2021년 9월,재밌긴 한데 주말이라 그런지 밤에도 사람이 많네요~,5
2021년 9월,아이들놀이기구가 모여있어서좋습니다,5
2021년 9월,좋습니다 가격도 싸고 특히 어린애들 놀기가 좋아요,4
2021년 9월,진짜 좋아요,5
2021년 9월,아기랑 가기 너무좋아요,5
2021년 9월,5세 아이랑 너무 재미있게 놀았습니다,5
2021년 9월,"지금은 어른과 함께 아이들이 놀수있는 분위기입니다.
사람 많은거 빼고 아주 좋습니다.",5
2021년 9월,아이들과  즐겁게 뛰어 놀 수 있어요,5
2021년 8월,야간개장 좋아요,4
2021년 8월,재미있는 기구는 전부 운용도 안하더만,3
2021년 8월,오랜만에 가서 너무 좋았어용~~~~~~~☆☆,5
2021년 8월,저학년 자녀가 있으면 놀기 딱좋은곳 같습니다.,5
2021년 8월,어른들은 잘 모르겠지만 아이들 놀기는 정말 딱입니다 코로나 때문에 운행을 하지 않는 기구들도 있긴 하지만 많이 기다리지 않아서 좋았네요 시설이 노후화된 건 어쩔 수 없겠지요ㅎ,4
2021년 8월,많이기다리지않아서좋았습니다 기념품가게에 좀더다양한제품들이있으면좋겠습니다,4
2021년 8월,굿,4
2021년 8월,"매점에서 얼음컵 천원짜리 사려고 집었는데 비닐뚜껑이 터졌습니다.
근데 돈내라고... 얼음컵때문에 속상했네요.
1000짜리 얼음컵 사지마세요. 집었다가 터지면
물어줘야 합니다…",1
2021년 8월,"요즘 같은 시대에 딱 맞는, 그리고 레트로 감성이 제대로 발휘되는 멋진 장소입니다.",5
2021년 8월,안되는 놀이기구가 꽤 있음,2
2021년 8월,"어린시절부터 지금까지 최고의 장소!!
모든 스트레스를 날려버릴수 있는 정말 좋은 놀이공원!!",5
2021년 8월,좋아여,5
2021년 8월,저녁먹고 매일 1시간정도 산책하기에 매우 좋습니다,5
2021년 8월,"코로나로 이용권은 할인해서 저렴하게 다녀왔는데 군데군데 문닫은 장소가 너무 많았어요.
사람이 없으니 놀이기구에 줄이 적어서 많이 기다리지 않아도 되는건 좋았네요~
공룡탐험관에 공룡 넘 크고 진짜같아서 재밌었고 6시 넘어서하는 빛축제도 넘넘 예뻤어요~",4
2021년 8월,"요즘 더워서 줄서지 않고 실컷 타고 왔습니다.
집가까이 있다는 것도 장점중의 장점인거같아요.",4
2021년 8월,코로나 시국에 사람이 없어서 진짜 놀이기구 원없이 탓어요 쩔아요,5
2021년 8월,"종일권 보다는 야간권 끊어서 몇시간 즐기기 좋은곳
코로나로 시설 축소와 매점등이 많이 부족하지만 아이들과 잠시 즐기기에는 부족하지 않음",5
2021년 8월,"사람 생각보다 없어서 놀기 좋았고 ㅎㅎ 키즈카페 같은곳도 있어서 더 어린 아가들은 실내에서 놀아도 되는 공간도 있네요~~
키 때문에 놀이기구 많이 못타는데~ 지금은 100쪼끔 넘어서 꽤 많이 타서 아들램 오늘 너무 신났네요~",5
2021년 8월,개쩐다 딸래미한테 사랑받음,5
2021년 8월,평일 야간개장으로 가면 사람 많이 없어서 기자리지 않고 놀이기구를 탈 수 있음. 어릴 때 초중고 소풍으로 항상 와봤지만 이렇게 기다리지 않고 타본 곤 몇 십년 만인지… 좋은 경험이었음 ㅋ 동문주차장은 여유가 있어서 주차하기 좋고 놀이공원으로 바로 들어갈 수 있어 편함. 다만 평일에는 금방 끝나는 놀이기구들이 좀 있고 금토일에는 비교적 늦게까지 하는 듯. 밤에 레이저 쇼도 함. 입구에서 당일 운행하지 않는 기구와 오늘의 공연 등을 잘 사진 찍어서 다니면 편함. 여름엔 모기가 많으니 모기퇴치제는 필수. 평일에 야간개장으로 가면 정말 편하게 재미있게 다녀올 수 있음,5
2021년 7월,여름 중 장마철엔 비 안오는 날 딱! 맞추면 줄 설 일도 없고 좋네요,4
2021년 7월,시설 보수가 거의 없는 듯 해요. 사람이 적어 기다리는 시간이 적은 장점,3
2021년 7월,연간권 끊으면 엄청 싼듯,5
2021년 7월,아이랑 방문시 최고입니다.,5
2021년 7월,재미있어요. 애들도 좋아하고 너무넓지않아 힘들지도 않고 딱좋아요.,5
2021년 7월,"말이 필요없는 수도권 최고의 놀이공원이죠^^
안양,평촌,산본,의왕 인근에 사는분들에게는
가까운곳에 큰 놀이공원이 있어 참 좋은것 같아요~
물론 애버랜드와 비교하면 먹는것, 축제 등 이벤트가 아쉽긴하지만요.
그래도 가깝고 넓고 놀이기구 다양해서 전 참 좋다고 생각합니다.",5
2021년 7월,입장료가 비싸고 사람들이 너무 많네요..,2
2021년 7월,"초등생과 가기 좋음
10시 오픈
일찍  가는게 좋음
신용카드 할인 해줌",4
2021년 7월,재밌습니다,5
2021년 7월,어린 아이들과 놀기 좋습니다,4
2021년 7월,애기들과 놀기 좋은 놀이공원 입니다.,4
2021년 7월,재밌어요,5
2021년 7월,기구 재밌어요 근데 비와서 조금 아쉬웠어요,4
2021년 7월,"걸어다닐만한 거리로 이것저것 다탐

루나패쓰 핸드폰마다 다깔아서 하세요
기다림이 줄어듭니다
루나패스 시간안에만 도착하면 탈수있으니 다른거 타다가 가세요 직원분이 몇시 예약하신분이요 불러주심

식당만 좀 바뀌면..
음식은 최하예요",4
2021년 7월,5세아이 둘데리고 갔었음. 좋았음......음식은 그냥 프렌차이즈 추천함......,4
2021년 7월,5세아이 둘데리고 갔었음. 좋았음......음식은 그냥 프렌차이즈 추천함......,4
2021년 7월,무더위 속에서도  웃음으로  반겨주셔서 감사합니다.,4
2021년 7월,아이들이랑 오기엔 좋아요^^ 시설은 많이많이 낡았지만 아이들은 재밌어하네요~!,4
2021년 7월,초저아이가 놀기 딱 좋은곳,5
2021년 7월,시설이 변화가 거의없는게 좀그렇지만 아이들은 좋아함,4
2021년 6월,오랜만에   애들이랑 큰딸 체험학습신청하고 가족끼리 서울랜드로 출발 평일 이어서 그런지 사람들이 한산 해서 좋았다.작은딸이 놀이기구를 처음 에는 무섭다고 하더니 6살 작은딸이 여러가지 타 보고 재미있다고 잘탄다.담에는 저녁에 가야겠다.,5
2021년 6월,"서울 근교이면서 서울대공원, 국립현대미술관도 인근에 있어서 위치 상 좋음. 애니메이션 테마로 어트랙션들이 있어서 어린이들이 좋아할 듯 함.",5
2021년 6월,"좋아요 근데저녁에비가와서놀이기구가
다운영중단되서아쉬웠어요",3
2021년 6월,키 90만 넘으면 태울 게 많아서 좋아요!,5
2021년 6월,아이들이좋아합니다,5
2021년 6월,평일에가야 한적하고아주좋음,4
2021년 6월,"3~4세 정도는 동물원 5~10세 정도는 서울랜드 에서 놀기 좋네요
사람이 붐비지도 않아 좋았습니다
하지만 운휴시설이 조금 많아서 미리 확인하는 것이 좋을듯 합니다",4
2021년 6월,가성비 좋음,5
2021년 6월,아이들 부담없이 놀고 사람들에 치이지 않는 곳,5
2021년 6월,"6시 이후 입장하는 표 구매해서 이용했구요. 덥지 않아서 좋았고 사람들이 많지 않아서 오랜 기다림 없이 놀이기구 탈 수 있었어요.
아이들도 정말 신나하더 라구요.",5
2021년 6월,밤이 더 이쁨,4
2021년 6월,가격대비 너무 좋았구요.저학년 유치원생 아이들이 탈게 많았습니다.,4
2021년 6월,가성비 뛰어 난 곳,5
2021년 6월,"(Google 번역 제공) 많은 볼거리가 있고 많은 볼거리와 장식이 복원이 필요합니다. 전체적으로 멋진 공원, 하루 종일 충분합니다. 엔터테인먼트 프로그램이 있습니다. 다양한 연령대의 명소",4
2021년 6월,일단 키가 큰 사람들은 탈게 많아서  재미있고 롤러코스터를 탈고 돌대 어린이 들은 머리가 아플수 있어요,5
2021년 6월,"아이들 탈거리가 많아요
이동거리가 길지않아서 좋아요",4
2021년 6월,"아들과서울랜드 줄겁게놀아서 아들이
기뻐해서 정말좋았읍니다
너무탈게 많아서 저는 정신없었읍니다",5
2021년 6월,놀이기구도 좋고 탈것도 많지만 긿을 잃기 십상입니다.,5
2021년 6월,"놀이기구 좀 업그레이드 했으면..
어떻게 나 어릴적 놀던 놀이기구가 지금까지 있나 싶다!",4
2021년 5월,"사람 너무 많아서 유아 놀이기구 전부 줄서다가 집에 가는 기분이었어요. 하루 3개타면 성공한 듯.
주차장 5천원이나 내는데 주차자리없어요",1
2021년 5월,주말이라 그런가 대기 시간도 길고 사람도 엄청 많아요,5
2021년 5월,코로나로 쉬는동안 리뉴얼좀 했기를 바랬는데 ㅜㅜ,3
2021년 5월,"서울근교에 이런 좋은 어린이 시설이 있어 좋습니다
어린이 천국 입니다",5
2021년 5월,"뭐..다들 아시잖아요
아이들과 가기 좋습니다
쉬는 놀이기구가 지난번과 달라서
이번에는 못탔는데
대신 지난번에 못탄 놀이기구 이번에는 탔어요",5
2021년 5월,놀이기구 타는데 시간이 오래 걸림,3
2021년 5월,공룡탐험과 정글짐 재미있,5
2021년 5월,어린이 천국,5
2021년 5월,서울랜드 이번에 루나 패스를 사용 했는데 오류가 많이 나서 크게 이용은 할수 없었다,4
2021년 5월,가족단위가 많아서 그런지 줄서기 매너는 형편없고 관리가 안되는....,3
2021년 5월,유치원이나 저학년 아이와 가기 정말 좋아요 일찍가서 어플로 예약하면 일요일도 충분히 다 탈수 있어요,5
2021년 5월,"성인이 된 후론 거의 가질 않았지만
놀이기구들이 거의 아이들용 이어서요
아이 데리고 가니 좋아하네요
음식점은 이용하지 말아야 합니다
다 너무 맛없어요
닭꼬치 냄새 심해서 환불 받을 정도엿어요",3
2021년 5월,6시이후 100cm아이들 이 놀기좋네요^^,5
2021년 5월,"동물원도 따로 티켓 끊어야하고 걸어가야하고..
한번에 돈내고 다둘러볼수있는 에버땡이 최고네요
체계가 뒤죽박죽 하나타려면 루나패스랑 얽혀서 2시간 기본기다려야하고 루나패스는 접속도 힘들고..
다신 안가려구요..집에서 가까워서 연간 끊으려다 패스~~입니다",1
2021년 5월,조카데리고 나들이 겸 고모놀이 했는데 너무 좋아해서 행복한 하루였어요 대부분 애들이 탈 수 있는 놀이기구 더라구요 다 탈 수 있어서 좋았어요 조카는 5살이예용,5
2021년 5월,놀이기구가 좁다…,3
2021년 5월,더워요,3
2021년 5월,공기가 좋아요,4
2021년 5월,"최고였어요~
아이와 함께 탈만한 것두 많구~
음식들두 저렴하고 다양한편~",5
2021년 5월,어린자녀들이 있는분들에게 다른 놀이동산보다 더 좋은것 같아요,5
2021년 5월,놀이기구가 무섭고 재밌는 게 많다,5
2021년 4월,애들놀기에는좋지만 너무허술하다,2
2021년 4월,정말 신나고 재미있었던 하루!!!!,5
2021년 4월,서울 근교에 위치한 가족중심의 놀이공원입니다.대중교통으로 접근이 용이하고 다양한 이벤트가 제공됩니다.,4
2021년 4월,(Google 번역 제공) 아이들은 재미있었습니다,5
2021년 4월,오전에 아직 사람이 많지않네요.,5
2021년 4월,평일 월요일에 가서 그런지 한산하면서도 적절한 사람 수로 분위기도 나고 좋았어요 ㅎㅎ 애기가 처음 와본터라 큰 소리에 한 시간동안 우는 바람에 달래느라 좀 힘들었지만 ㅠㅠ 그래도 즐겁게 산책처럼 잘 다녀왔습니다 ^^ …KT VVIP 사용하시면 성인 2명 무료입장 되고 네이버 예약으로 아이는 저렴하게 다녀왔어요~^^,5
2021년 4월,가족끼리 즐거운시간 보낼수 있는 또 하나싀 장소,5
2021년 4월,코로나라도 사람은 드글드글,5
2021년 4월,시설이 좀 낡았으나 저렴하고 대기가 적어 초등학생 정도까지는 괜찮음.,4
2021년 4월,"(Google 번역 제공) 좋은!
(원문)
Good!",5
2021년 4월,가성비 좋았어요. 유아들에겐 너무큰곳보다 안성맞춤이였어요. 야외 미끄럼틀 놀이터? 햐주고팠는데 운행안해서 아쉬웠어요.,5
2021년 4월,"(Google 번역 제공) 가족 및 연인과 함께 즐길 수있는 좋은 장소
(원문)
Nice place to enjoy with family and lovers",5
2021년 4월,완전 신나여 아이들이 너무너무 좋아하고 대신 키120제한이 놀러코스터에있어서 그 점만알아두고가시면 유용하실꺼예요,5
2021년 4월,영유아놀기좋아요,5
2021년 4월,흐흐 ~~놀이기구 맛 들린 7세 여긴 정말 아이들 에게 최고에요👍😄😄,5
2021년 4월,"저희 7세 따님이 엄청 좋아해서 일년에 3회이상 방문합니다 맞벌이부부에 주말에도 일하는 3교대인지라 시간 맞추기 힘들지만 날 좋으면 가려고 합니다
할인받아서 티켓구매하고 그 안 장터에서 밥 먹고 놀이기구타고 종일 놀다옵니다",5
2021년 4월,11개월아기랑 야간권끊어서 갔는데생각보다 아기가 탈수있는걸 안해서 슬픔,3
2021년 4월,주말나들이 하기에 괜찮은 곳입니다.,3
2021년 4월,약간 올드한 맛이 있는 놀이 공원~ 놀이 공원안에 주막이 있다는 것은 정말 환타스틱~ 초딩 이하 자녀가 있다면 강추~ 연인 이라면 롯데월드나 에버랜드 가시길,4
2021년 4월,"(Google 번역 제공) 즐거운 하루입니다. 그들은 그것을 훌륭하게 만드는 광고되지 않은 훌륭한 외국인 가격을 가지고 있습니다. 두 개의 롤러 코스터는 좋은 롤러 코스터입니다.
(원문)
It's a fun day. They have a great unadvertised Foreigner price that makes it great. The two roller coasters that it has are good roller coasters.",4
2021년 3월,,
2021년 3월,,
2021년 3월,"아이들과 함께 ~
즐겁고 소중한 추억을 만들기 정말 좋은 장소입니다.",5
2021년 3월,서울인근 놀이동산.,5
2021년 3월,완전 짱!!! 저는 놀이동산 중 요기가 최고!,5
2021년 3월,"서울랜드 다들 잘알텐데 무슨말이 필요할까요 서울랜드 다들 잘알텐데 무슨말이 필요할까요
팁이나 하나 드리면 후문 주차장이 서울랜드가기 훨씬 가깝다? 다만 오후에는 주차 자리가 없으니 정문으로",5
2021년 3월,놀이기구맛집 ...애들이좋아해요 ~~~,5
2021년 3월,"놀이동산 탈게 없다
휴장하는 기구가 너무 많아서
서울랜드는 동물원이 그냥 괜찮은듯",2
2021년 3월,서울랜드에도 조금씩 봄이 오겠지,5
2021년 3월,아이 저학년때까지 정말 자주 다녔는데 오랜만에 만원의 행복으로 고학년아이와 평일에 갔더니 운영하지 않는 기구들도 많고 아이는 조금 시시해 하네요.. 그래도 넓은 공원 걸으며 다녔더니 코로나로 답답한 마음이 조금 가셨어요..,5
2021년 3월,"무조건 오전 9시30분까지 도착하셔서 10시전에
입장하셔야 놀이기구 편하게 탈 수 있습니다.
자차이용하시는 분들은 정문말고 동문 추천드립니다.
초등학생 자녀있으신 분들 강추.",4
2021년 3월,이 가격에 놀수 있는데 별로 없어..물론 거의 변동없는 놀이기구…,4
2021년 3월,쌉 벌레 어지러움 유발 암것도 안함,1
2021년 3월,미취학 아동과 함께라면 그곳은 천국일지어다. 80센티미터 이상인 아이들이 탈 놀이기구가 많아서 에버랜드나 롯데월드보다 많이 놀 수 있음...그리고 라바는 정말 어지러움,5
2021년 3월,엑스 플라이어 운휴해서 아쉬웠지만 즐거웠습니다.,4
2021년 3월,사람은 적당히 많았어요.아직은 좀 추움.,3
2021년 3월,"놀이기구가 정말 재미있어요. 도깨비바람이라는 놀이기구가 있는데 아주 재미있어요. 그런데 무서울 수도 있으니 주의하세요^^ (참고로 도깨비 바람은 키 제한 140cm입니다.)
또 88열차나 블랙홀도 재미있어요. 키 제한은 120cm.
제일 무섭고 재미있던 것은, 스카이 X인데 고소공포증이 있으면 타지 마세요^^ 스카이 X는 높이 올라가서 떨어지는 것이 무섭습니다. 키 제한은 120cm이고요.
스카이 X옆에는 샷X드롭이 있는데 높이 올라갔다가 떨어지는 거예요. 꼭대기까지 올라가면 서울랜드 전체가 다 보여요. 키 제한은 140cm.
서울랜드에서 재미있는 하루 보내세요~",5
2021년 3월,아이가 진짜 좋아해서 넘 좋았음,5
2021년 3월,"손주들과 함께 즐거운 날 보냈습니다.
늦게 까지 지내다 왔네요.(26년만에)",4
2021년 3월,"놀이기구, 음식, 간식 모두다 굿!
아이랑 근교 놀러가기 딱인 곳이예요",5
2021년 2월,아이들 놀이기구 많아서 좋았어요. 우리 아이들은 라바 놀이기구가 제일 재미있다고 합니다 ㅎ,4
2021년 2월,코로나로 잼있는 놀이기구 운영 안해서 아쉬웠음,3
2021년 2월,사람없고 아이들 위주로 탈것이 많네용..운휴중인 놀이기구가 많은게 아쉬워요,3
2021년 2월,재미있고 좋았으나 안돌아가는 기구가 있어 좀 그랬음,3
2021년 2월,아이들 놀이기구 타기 좋은곳 입니다.,4
2021년 2월,"(Google 번역 제공) 아주 좋은 곳 어린이와 노인. 다양한 게임을 할 수 있습니다.
(원문)
Very nice place kids and elderly people. You can play various games.",5
2021년 2월,나는싫어,3
2021년 2월,예전보다 맛이 없어졌어요 친절은 하지만 위생상태가......식기들이 전부 찐득찐득하고 비린네가 많이 나요 초밥위에 뚜껑 전부 씌워놨으면 좋겠는데 그게 잘 안되네요 회전이라 앞보고 먹는사람들 침들어갈꺼같고 좀 찝찝해요,1
2021년 2월,"보통은 에버랜드를 가는데 안간지 오래되서 서울랜드로 갔다 왔습니다.
신한카드 만원의 행복 이벤트 덕에 입장료는 매우 쌌습니다.
새로 오픈한 쥬라기월드는 실망했습니다.
좁은 장소에 공룡을 몰아넣어 보는맛도 없는데다 공룡 퀄리티가 많이 낮았습니다.
시설은 여전히 에버랜드 대비 열악한 상황이나 애들이 탈만한 놀이기구가 많은건 좋았습니다.
먹거리는 에버랜드 보다 좋은 것 같습니다.
자금이 넉넉치 않은 지 공연은 에버랜드랑 비교하기 민망할 정도로 퀄리티가 낮습니다.
서울랜드 공연은 굳이 챙겨볼 필요는 없을 것으로 보이며 놀이기구 하나하도 더 타는걸 추천드립니다.",4
2021년 2월,100cm아기랑 놀이기구 탈것도 많고 좋습니다,5
2021년 2월,"코로나 2단계 시기이지만 잘다녀왔습니다.
마스크착용과 거리두기를 입장객들이 잘 지키고 있어서 안심하고 잘 놀다왔습니다.
입장권 구매시 카드할인 참조하시고 오세요.",4
2021년 2월,놀이기구 녹슨건 걱정이지만 그래도 애들이 좋아해서^^,4
2021년 2월,"날풀리니 사람엄청많네요
어른보다는 아동.아이들이 탈것들이많아 줄이어마어마합니다
곳곳에 손소독제가비치되어있네요
조금 아쉽다면 에xx드처럼 사람들이타고 내리면 자리(손잡이)에도 가볍게 소독약 칙칙 해주면 좋을텐데요",4
2021년 2월,7살 아이가 있다면 강추,4
2021년 2월,"아이들과 멋진 추억을 쌓았습니다
가격 대비 좋은 놀이 동산 입니다^^",4
2021년 2월,야경이 좋네요,5
2021년 2월,"아이에 특화되고 수도권에서 너무 가깝고 근접도 높은 놀이동산
다양하지만 아이에 특화된 어트랙션이 많아요.",5
2021년 2월,오전에 갔는데 사람없어서 잘놀고 2시쯤 사람 많아져서 바로 나왔어요,5
2021년 2월,눈썰매장 외 어린이가 놀기 좋아요,4
2021년 2월,어제 갔는데 줄 별로 안서도 되고 무서운 놀이기구도 별로 없습니다,5
2021년 1월,"아주 재밌고 넓었어요.
따뜻한 히터있는 히터룸도 있어서 아주 좋았어요.",5
2021년 1월,코로나끝나고 많은시설 다 운영했으면좋겠습니다 문닫은가게나 운영안하는 놀이기구가 조금은있어요,4
2021년 1월,"날이 추워서인가 굉장히 한가했어요
덕분에 저렴하게 실컷놀았네요(신한카드 자유이용권 만원)",5
2021년 1월,"가격은 저렴하나 그만큼 운휴가 많아요. 평일날 가서 안 기다리고 좋은데, 멀미나서 많이 못탄게 아쉽네요 ㅜㅜ",3
2021년 1월,,
2021년 1월,"산으로 둘러 쏴여서 공기 좋고, 산새소리가 넘친답니다.",5
2021년 1월,놀이기구가 과하지 않고 4 5 6 세 아이들이 놀기에 재밌는 소재가 많습니다. 맛집이 좀 부족한거 같아요. 뚝불을 먹었는데 고기가 오래된 냄새가 났음,5
2021년 1월,산책하기 좋음. 시설이 낡아서 아쉽다.,4
2021년 1월,코로나 시기에는 공원 산책.,4
2021년 1월,"(Google 번역 제공) 서울 랜드 테마파크는 국내 최초의 놀이 공원이다. 그래서 예전 스타일처럼 보입니다. 하지만 이야기가 있다는 것을 알고 Pee Inie입니다. Mm을 여기로 데려 왔습니다. 이 유원지는 집에서 가까운 테마파크입니다. 어렸을 때 이니는 자주왔다. 추억이 이런 곳처럼
음, 이곳처럼 에버랜드 나 롯데 월드만큼 눈에 띄지 않습니다. 하지만 가족처럼 따뜻한 행복을주고 외국인 관광객도 붐비지 않습니다 그들 대부분은 한국에있어 친구와 다른 클럽이 함께 활동할 수 있습니다.
MM이 떠난 날 날씨는 영하 5도이고 여기에있는 모든 롤러 코스터를 플레이합니다.
여기의 놀이기구는 다른 곳만큼 스릴입니다. 앞 좌석 입구에서 첫 번째 롤러 코스터를 치는 MM은 추위 때문에 입에 비명을 질렀다.
다른 사람을 만났을 때 그것은 숫자 8에 대한 공중제비와 같습니다. 이것은 스릴 있고 재미 있습니다.
음, 거의 다 티켓 가치가 있다고, 하하.
각 기간의 티켓 가격은 저녁 mm부터 4 시까 지 동일하지 않으며 티켓 가격은 약 14,000-16,000 원입니다. 원하는만큼의 라운드를 플레이 할 수 있습니다. 플레이를 끝내고, 줄을 서고, 다시 플레이하고, 방어
mm에 플레이어. 정말 좋아하고 다시 플레이하고 싶습니다 : Top Spin, Double Loop Coaster, Black Hole 2000.",5
2021년 1월,차가 너무 막힘,2
2021년 1월,예전 학창시절을 떠올리며 이젠 아이들과함께~~ 시설도좋아지고 먹거리도많고 놀이기구도 잼있고 11월엔 할로윈장식이였어요.,5
2021년 1월,"코로나 방역 2.5단계 실시로 일부 시설의 경우 운영을 안 함
120cm 이하 유아용 눈썰매장 미운영",5
2021년 1월,"35년 전 오고, 이제는 아빠가 되어 아들과 함께 오네요.
새롭고 친근해서 좋네요.
코로나라 사람들이 없어 전세 낸 기분도 듭니다.
빨리 코로나가 끝났으면 좋겠네요…",5
2021년 1월,"걷는코스가 너무 좋았어요
봄이면 더좋을듯하더라구요",5
2021년 1월,사진찍기 좋더라구요. 6시 폐장. 알아두세요.,4
2021년 1월,"(Google 번역 제공) 박은 놀랍다. 가족을위한 피크닉도 준비 할 수 있습니다. 때로는 음악 쇼가 권위에 의해 배열되어 즐거움의 새로운 수준을 제공합니다. 공원의 야간 조명은 정말 좋습니다.
가기 전에 티켓을 사는 것이 좋을 것입니다. 현장 티켓 가격이 더 높습니다.
(원문)
Park is amazing. Picnic can be arranged also for families. Sometimes music shows are arranged by authority which gives a new level for enjoyment. Night lighting at Park is really good.
It will be good to buy ticket before going. On spot Tickets price is higher.",5
2021년 1월,시설이 많이노후되었지만 자미있었습니다,5
2021년 1월,거리두기 1.5라 불안한 맘에 방문했지만 방역도 잘 하고 사람도 없어 즐거운 시간 보내고 왔네요~,5
